mode,payload_bytes,enc_ms,dec_ms,throughput_MBps
ecb,1024,0.000803936,0.000834485,1214.73
ecb,4096,0.00115229,0.00118712,3389.99
ecb,16384,0.00265644,0.00269857,5881.93
ecb,262144,0.0328659,0.0328463,7606.66
ecb,1048576,0.131816,0.131849,7586.36
ecb,8388608,1.07075,1.07044,7471.4
cbc,1024,0.00150121,0.000998513,650.515
cbc,4096,0.00374317,0.00138101,1043.57
cbc,16384,0.0125565,0.00304438,1244.38
cbc,262144,0.189475,0.0359949,1319.44
cbc,1048576,0.763278,0.148586,1310.14
cbc,8388608,6.1393,1.2191,1303.08
cfb,1024,0.00152855,0.00111197,638.882
cfb,4096,0.00367494,0.00187613,1062.94
cfb,16384,0.012397,0.00514132,1260.39
cfb,262144,0.186983,0.0699834,1337.02
cfb,1048576,0.759709,0.286962,1316.29
cfb,8388608,6.11394,2.32292,1308.48
ofb,1024,0.0015404,0.00155276,633.965
ofb,4096,0.00365693,0.00367572,1068.18
ofb,16384,0.0121921,0.012187,1281.57
ofb,262144,0.182292,0.181909,1371.43
ofb,1048576,0.737783,0.738922,1355.41
ofb,8388608,5.96452,5.97724,1341.26
ctr,1024,0.00100494,0.00102309,971.761
ctr,4096,0.00146177,0.00147576,2672.28
ctr,16384,0.00315076,0.00316988,4959.12
ctr,262144,0.0367537,0.0368627,6802.03
ctr,1048576,0.156226,0.157476,6401
ctr,8388608,1.27075,1.29263,6295.51
xts,1024,0.00155757,0.00155347,626.978
xts,4096,0.00295554,0.00294893,1321.67
xts,16384,0.00847595,0.00843464,1843.45
xts,262144,0.1442,0.141331,1733.7
xts,1048576,0.610883,0.600465,1636.97
xts,8388608,4.97623,4.89533,1607.64
gcm,1024,0.00122742,0.00168709,795.623
gcm,4096,0.0017911,0.00225652,2180.93
gcm,16384,0.00427897,0.00479556,3651.58
gcm,262144,0.0536644,0.0538428,4658.58
gcm,1048576,0.225283,0.21854,4438.86
gcm,8388608,1.81874,1.76772,4398.65
ccm,1024,0.00184766,0.00229879,528.541
ccm,4096,0.00441308,0.00488258,885.153
ccm,16384,0.0148592,0.0153548,1051.54
ccm,262144,0.224102,0.225093,1115.56
ccm,1048576,0.901589,0.911962,1109.15
ccm,8388608,7.33683,7.51799,1090.39
